Date,Amount,Category,Description
5/1/2024,940.46,Health,Health expense
4/24/2023,4632.46,Entertainment,Entertainment expense
12/15/2025,1260.71,Transport,Transport expense
12/5/2024,3261.89,Shopping,Shopping expense
8/10/2025,1179.16,Education,Education expense
1/5/2025,482.76,Entertainment,Entertainment expense
2/5/2025,112.26,Shopping,Shopping expense
2/24/2024,4535.2,Shopping,Shopping expense
11/19/2023,3318.76,Entertainment,Entertainment expense
6/15/2023,1901.31,Entertainment,Entertainment expense
9/4/2023,3821.0,Education,Education expense
5/10/2023,1486.1,Transport,Transport expense
2/22/2023,335.13,Utilities,Utilities expense
10/5/2023,3156.39,Entertainment,Entertainment expense
6/30/2023,1715.22,Food,Food expense
10/26/2025,1768.25,Food,Food expense
2/1/2024,1968.77,Utilities,Utilities expense
12/4/2025,2306.42,Education,Education expense
4/20/2023,3135.16,Transport,Transport expense
11/19/2025,3832.13,Utilities,Utilities expense
7/21/2023,1749.85,Transport,Transport expense
6/4/2024,786.23,Food,Food expense
6/19/2023,199.85,Utilities,Utilities expense
4/24/2023,2927.24,Education,Education expense
1/26/2024,4281.29,Entertainment,Entertainment expense
3/26/2023,1458.25,Transport,Transport expense
2/27/2024,1883.74,Utilities,Utilities expense
10/1/2023,893.09,Food,Food expense
10/13/2025,562.92,Entertainment,Entertainment expense
5/27/2023,2913.4,Food,Food expense
10/5/2024,963.12,Transport,Transport expense
7/21/2024,2050.29,Health,Health expense
8/25/2025,705.64,Health,Health expense
11/24/2024,4356.11,Utilities,Utilities expense
1/9/2023,459.07,Shopping,Shopping expense
11/26/2025,1168.41,Education,Education expense
9/19/2023,1206.66,Shopping,Shopping expense
7/5/2023,4671.74,Utilities,Utilities expense
7/27/2025,1760.29,Education,Education expense
10/16/2024,1397.34,Health,Health expense
3/13/2023,3481.6,Transport,Transport expense
7/22/2024,1814.91,Health,Health expense
11/29/2024,4264.66,Shopping,Shopping expense
11/14/2025,1711.8,Utilities,Utilities expense
7/1/2023,777.61,Entertainment,Entertainment expense
8/16/2024,409.38,Shopping,Shopping expense
1/3/2025,3704.9,Food,Food expense
2/12/2023,1684.96,Shopping,Shopping expense
6/11/2024,1033.56,Shopping,Shopping expense
9/7/2024,3112.45,Education,Education expense
3/4/2025,3251.85,Utilities,Utilities expense
10/12/2025,88.2,Health,Health expense
10/8/2024,4783.94,Health,Health expense
2/10/2025,2695.89,Transport,Transport expense
8/7/2023,2633.1,Transport,Transport expense
7/21/2024,4437.03,Utilities,Utilities expense
4/7/2024,3186.51,Shopping,Shopping expense
11/9/2025,4491.01,Entertainment,Entertainment expense
4/22/2023,4935.41,Health,Health expense
10/15/2024,4518.84,Education,Education expense
7/15/2023,105.73,Food,Food expense
1/6/2025,4511.08,Utilities,Utilities expense
5/28/2024,3853.13,Education,Education expense
9/20/2023,3551.57,Food,Food expense
8/31/2023,392.5,Utilities,Utilities expense
3/6/2024,4070.79,Health,Health expense
12/28/2023,4887.63,Transport,Transport expense
4/18/2023,4356.11,Health,Health expense
1/30/2025,941.13,Utilities,Utilities expense
4/1/2024,4724.0,Food,Food expense
5/10/2023,3019.78,Food,Food expense
3/17/2023,1725.65,Entertainment,Entertainment expense
9/1/2025,1999.1,Utilities,Utilities expense
1/16/2023,4404.19,Food,Food expense
8/1/2025,3371.74,Shopping,Shopping expense
1/18/2024,4649.98,Education,Education expense
5/13/2025,2678.92,Education,Education expense
10/18/2025,2626.23,Transport,Transport expense
11/22/2023,3742.49,Shopping,Shopping expense
8/26/2024,3988.19,Transport,Transport expense
6/26/2024,2531.68,Education,Education expense
5/17/2025,4403.69,Utilities,Utilities expense
4/6/2025,2300.29,Health,Health expense
5/25/2023,1533.68,Health,Health expense
1/19/2025,974.03,Shopping,Shopping expense
7/21/2025,4987.74,Education,Education expense
9/28/2024,3334.11,Utilities,Utilities expense
4/3/2024,1231.5,Entertainment,Entertainment expense
1/11/2023,2731.86,Education,Education expense
11/30/2024,610.6,Food,Food expense
3/3/2025,1915.91,Transport,Transport expense
1/24/2023,1108.97,Shopping,Shopping expense
4/5/2023,3178.25,Health,Health expense
9/1/2023,967.33,Entertainment,Entertainment expense
9/14/2025,2406.15,Health,Health expense
3/4/2023,1435.96,Shopping,Shopping expense
5/31/2025,780.48,Health,Health expense
3/21/2023,818.4,Education,Education expense
8/3/2023,4172.48,Utilities,Utilities expense
3/25/2023,2557.3,Education,Education expense
5/29/2023,973.61,Transport,Transport expense
2/16/2024,2560.43,Entertainment,Entertainment expense
6/27/2025,621.45,Food,Food expense
9/14/2025,2109.0,Entertainment,Entertainment expense
6/13/2023,4994.66,Education,Education expense
9/10/2024,1715.3,Health,Health expense
6/7/2025,599.64,Entertainment,Entertainment expense
10/28/2025,1170.99,Food,Food expense
10/16/2023,430.58,Transport,Transport expense
3/5/2023,247.96,Education,Education expense
5/6/2025,1937.09,Health,Health expense
9/28/2025,758.17,Utilities,Utilities expense
5/7/2023,2418.97,Health,Health expense
11/5/2024,1483.3,Transport,Transport expense
9/1/2025,2958.02,Utilities,Utilities expense
7/25/2024,451.08,Food,Food expense
10/12/2024,2645.12,Education,Education expense
1/1/2023,1751.94,Entertainment,Entertainment expense
11/10/2024,2715.95,Education,Education expense
6/15/2024,415.14,Education,Education expense
7/12/2023,4558.07,Transport,Transport expense
3/24/2024,2199.2,Education,Education expense
2/6/2024,150.2,Entertainment,Entertainment expense
6/26/2025,1765.81,Education,Education expense
4/28/2024,3675.45,Food,Food expense
12/3/2024,912.6,Utilities,Utilities expense
3/27/2025,3883.28,Food,Food expense
8/3/2024,3069.11,Shopping,Shopping expense
2/11/2024,4235.0,Education,Education expense
2/5/2024,3297.06,Food,Food expense
11/9/2023,4544.9,Shopping,Shopping expense
10/26/2025,1940.58,Health,Health expense
12/26/2024,4865.15,Transport,Transport expense
1/23/2024,4373.79,Utilities,Utilities expense
2/7/2023,4594.1,Utilities,Utilities expense
4/7/2023,4184.98,Health,Health expense
6/30/2024,3606.09,Utilities,Utilities expense
1/24/2025,1616.45,Entertainment,Entertainment expense
12/8/2023,3966.41,Utilities,Utilities expense
11/3/2025,2627.97,Health,Health expense
7/25/2024,2356.62,Utilities,Utilities expense
7/18/2024,4760.7,Health,Health expense
7/16/2023,4434.12,Food,Food expense
11/25/2024,451.76,Transport,Transport expense
7/28/2023,4243.91,Shopping,Shopping expense
2/10/2025,1362.15,Transport,Transport expense
4/6/2023,3762.26,Health,Health expense
5/12/2023,557.96,Food,Food expense
10/21/2023,2641.54,Education,Education expense
8/16/2024,1781.69,Health,Health expense
1/31/2025,71.72,Food,Food expense
8/7/2023,3248.77,Health,Health expense
4/30/2025,4780.93,Health,Health expense
9/23/2024,919.77,Health,Health expense
5/17/2024,3195.32,Transport,Transport expense
6/10/2023,1289.04,Utilities,Utilities expense
8/31/2025,4279.51,Food,Food expense
10/6/2023,3256.92,Transport,Transport expense
1/20/2023,1998.98,Education,Education expense
4/14/2024,2879.23,Transport,Transport expense
11/18/2025,3562.01,Shopping,Shopping expense
5/3/2023,4565.54,Utilities,Utilities expense
3/31/2023,1769.2,Food,Food expense
11/20/2023,2149.72,Transport,Transport expense
5/31/2023,1491.77,Transport,Transport expense
6/1/2024,3657.13,Health,Health expense
3/12/2023,2930.44,Entertainment,Entertainment expense
3/31/2025,1144.62,Shopping,Shopping expense
12/9/2025,2917.38,Utilities,Utilities expense
5/23/2024,1893.26,Utilities,Utilities expense
6/27/2023,4043.16,Utilities,Utilities expense
10/10/2024,2069.7,Food,Food expense
4/9/2024,793.37,Transport,Transport expense
4/2/2024,4978.05,Food,Food expense
11/9/2023,4901.61,Education,Education expense
1/25/2025,2196.42,Entertainment,Entertainment expense
8/8/2025,1420.44,Transport,Transport expense
7/1/2025,4270.54,Transport,Transport expense
11/20/2024,662.63,Entertainment,Entertainment expense
12/28/2024,1999.55,Transport,Transport expense
12/12/2024,1901.66,Education,Education expense
5/5/2024,3858.92,Shopping,Shopping expense
5/14/2025,54.98,Food,Food expense
10/5/2025,442.68,Health,Health expense
10/11/2025,2758.19,Entertainment,Entertainment expense
4/11/2025,4290.15,Food,Food expense
2/15/2023,2079.67,Shopping,Shopping expense
4/16/2024,4914.11,Education,Education expense
3/30/2023,4002.27,Utilities,Utilities expense
12/31/2025,2507.88,Transport,Transport expense
4/6/2023,3305.07,Shopping,Shopping expense
11/16/2023,1047.25,Entertainment,Entertainment expense
11/17/2025,3247.25,Health,Health expense
3/10/2025,3145.47,Transport,Transport expense
8/29/2025,2356.97,Transport,Transport expense
11/9/2025,2340.47,Entertainment,Entertainment expense
11/25/2024,3718.63,Food,Food expense
7/25/2024,3398.86,Health,Health expense
12/2/2024,1873.4,Transport,Transport expense
10/22/2024,742.96,Education,Education expense
5/4/2023,2642.85,Shopping,Shopping expense
11/22/2024,3659.47,Transport,Transport expense
11/3/2024,3142.43,Utilities,Utilities expense
7/2/2024,2835.06,Health,Health expense
2/28/2025,1485.95,Food,Food expense
7/26/2023,2895.91,Transport,Transport expense
1/30/2023,1765.9,Shopping,Shopping expense
9/20/2025,2734.88,Education,Education expense
5/13/2024,310.58,Entertainment,Entertainment expense
8/11/2023,258.06,Education,Education expense
3/11/2023,1512.54,Entertainment,Entertainment expense
5/23/2025,4326.31,Entertainment,Entertainment expense
8/6/2024,2188.47,Shopping,Shopping expense
7/7/2025,2016.88,Food,Food expense
8/15/2023,3827.32,Education,Education expense
3/2/2025,1669.87,Education,Education expense
5/2/2025,1877.28,Health,Health expense
5/6/2023,4252.27,Shopping,Shopping expense
10/30/2023,2183.69,Entertainment,Entertainment expense
4/16/2023,1206.46,Food,Food expense
12/29/2025,3101.55,Transport,Transport expense
9/22/2023,1923.45,Transport,Transport expense
4/9/2023,4746.73,Entertainment,Entertainment expense
1/5/2025,2043.06,Utilities,Utilities expense
11/8/2024,2706.76,Shopping,Shopping expense
2/13/2025,2909.52,Food,Food expense
1/23/2023,4916.51,Shopping,Shopping expense
7/29/2025,3118.32,Health,Health expense
3/26/2025,1889.17,Utilities,Utilities expense
12/11/2023,971.98,Utilities,Utilities expense
3/22/2025,4604.47,Education,Education expense
3/9/2023,2752.33,Shopping,Shopping expense
6/9/2025,429.13,Utilities,Utilities expense
9/1/2023,533.77,Education,Education expense
1/29/2024,1556.83,Transport,Transport expense
11/22/2023,4356.54,Shopping,Shopping expense
1/22/2024,4409.92,Health,Health expense
4/11/2025,4361.45,Food,Food expense
1/19/2025,4321.25,Food,Food expense
10/16/2023,1270.62,Shopping,Shopping expense
2/25/2024,3561.28,Education,Education expense
8/25/2023,913.38,Education,Education expense
11/6/2023,3398.58,Transport,Transport expense
3/20/2023,577.3,Utilities,Utilities expense
9/8/2023,660.68,Utilities,Utilities expense
12/28/2024,3638.28,Food,Food expense
4/29/2024,3200.44,Education,Education expense
12/13/2025,1556.35,Health,Health expense
10/8/2025,1775.27,Food,Food expense
9/20/2024,423.09,Education,Education expense
5/25/2024,2006.99,Shopping,Shopping expense
1/24/2025,3177.88,Entertainment,Entertainment expense
7/18/2023,3894.56,Education,Education expense
1/28/2023,2006.09,Utilities,Utilities expense
1/30/2025,1979.35,Transport,Transport expense
6/21/2025,2985.36,Food,Food expense
1/3/2023,641.12,Transport,Transport expense
12/17/2023,4199.77,Shopping,Shopping expense
2/22/2024,2951.25,Food,Food expense
11/29/2024,4434.36,Transport,Transport expense
7/26/2024,3357.34,Shopping,Shopping expense
10/4/2025,192.54,Health,Health expense
8/14/2023,202.23,Education,Education expense
4/25/2025,1382.6,Shopping,Shopping expense
12/3/2024,2272.32,Shopping,Shopping expense
9/23/2024,2730.13,Transport,Transport expense
12/25/2024,539.62,Education,Education expense
7/22/2025,4754.56,Education,Education expense
3/18/2024,2491.36,Utilities,Utilities expense
1/14/2024,233.35,Food,Food expense
9/2/2025,1107.71,Transport,Transport expense
3/2/2024,1237.56,Education,Education expense
8/15/2024,2297.13,Utilities,Utilities expense
7/24/2024,4509.04,Education,Education expense
4/8/2023,3759.63,Transport,Transport expense
1/10/2024,2863.05,Food,Food expense
5/5/2025,4119.08,Food,Food expense
1/11/2025,1458.72,Entertainment,Entertainment expense
11/20/2025,4639.14,Entertainment,Entertainment expense
7/21/2023,686.48,Entertainment,Entertainment expense
7/15/2023,1408.43,Entertainment,Entertainment expense
7/18/2025,3703.67,Transport,Transport expense
12/21/2023,707.23,Shopping,Shopping expense
9/14/2023,1239.51,Education,Education expense
6/1/2025,1014.04,Utilities,Utilities expense
12/1/2025,1719.74,Entertainment,Entertainment expense
4/2/2024,242.76,Shopping,Shopping expense
1/29/2024,1780.35,Entertainment,Entertainment expense
2/3/2023,2021.85,Entertainment,Entertainment expense
8/1/2025,4604.45,Shopping,Shopping expense
3/6/2024,1596.46,Transport,Transport expense
6/11/2025,4029.01,Health,Health expense
12/1/2023,4780.17,Education,Education expense
10/16/2024,2559.56,Transport,Transport expense
1/23/2024,1419.36,Entertainment,Entertainment expense
1/1/2025,911.8,Utilities,Utilities expense
9/26/2025,2627.43,Shopping,Shopping expense
7/2/2023,1841.04,Entertainment,Entertainment expense
6/20/2024,1022.87,Transport,Transport expense
10/18/2025,3283.58,Health,Health expense
10/10/2024,930.52,Food,Food expense
1/24/2025,787.26,Education,Education expense
6/28/2024,2798.22,Transport,Transport expense
2/15/2024,345.19,Education,Education expense
12/14/2023,1592.9,Utilities,Utilities expense
10/27/2023,4376.57,Utilities,Utilities expense
8/4/2025,3639.9,Food,Food expense
7/4/2025,2794.32,Entertainment,Entertainment expense
7/4/2024,4139.24,Transport,Transport expense
9/7/2024,1150.11,Health,Health expense
8/30/2025,4839.45,Entertainment,Entertainment expense
5/6/2024,1632.83,Food,Food expense
7/8/2024,3471.48,Shopping,Shopping expense
10/17/2023,237.65,Education,Education expense
9/29/2024,137.2,Health,Health expense
8/27/2025,314.06,Education,Education expense
3/21/2024,725.62,Transport,Transport expense
12/3/2024,4845.61,Health,Health expense
7/16/2025,2921.69,Food,Food expense
12/27/2023,2925.91,Food,Food expense
4/24/2025,3686.46,Utilities,Utilities expense
7/2/2025,3491.21,Education,Education expense
4/14/2025,3028.47,Shopping,Shopping expense
8/14/2023,2736.85,Education,Education expense
10/8/2024,2693.43,Education,Education expense
6/16/2023,1519.15,Education,Education expense
1/31/2023,359.87,Health,Health expense
11/23/2023,4772.04,Transport,Transport expense
8/6/2025,1963.73,Entertainment,Entertainment expense
4/16/2023,4786.09,Utilities,Utilities expense
2/15/2024,647.9,Transport,Transport expense
8/20/2024,1044.95,Utilities,Utilities expense
5/28/2023,2700.32,Utilities,Utilities expense
9/30/2025,3705.97,Entertainment,Entertainment expense
5/10/2024,4012.61,Utilities,Utilities expense
4/25/2025,4422.93,Entertainment,Entertainment expense
12/27/2025,3229.75,Transport,Transport expense
11/14/2024,2055.14,Shopping,Shopping expense
12/17/2023,626.03,Shopping,Shopping expense
2/7/2023,198.3,Transport,Transport expense
1/21/2024,1605.61,Entertainment,Entertainment expense
11/11/2024,1433.22,Entertainment,Entertainment expense
7/7/2024,1393.99,Education,Education expense
12/22/2024,1197.37,Transport,Transport expense
9/12/2024,351.45,Health,Health expense
3/3/2023,4663.72,Utilities,Utilities expense
3/29/2025,3491.12,Shopping,Shopping expense
7/18/2024,3573.34,Entertainment,Entertainment expense
12/24/2023,3589.36,Entertainment,Entertainment expense
3/29/2024,4370.82,Transport,Transport expense
9/25/2024,1406.84,Education,Education expense
5/26/2024,2073.76,Entertainment,Entertainment expense
10/25/2025,1537.85,Entertainment,Entertainment expense
3/22/2024,2855.48,Transport,Transport expense
9/16/2024,939.57,Shopping,Shopping expense
9/23/2024,3596.71,Transport,Transport expense
10/12/2024,2267.18,Transport,Transport expense
9/9/2025,2051.19,Education,Education expense
11/22/2024,485.49,Education,Education expense
7/23/2025,3521.29,Shopping,Shopping expense
5/9/2024,2210.63,Food,Food expense
9/10/2025,2598.84,Entertainment,Entertainment expense
2/15/2024,4565.31,Shopping,Shopping expense
1/12/2025,4274.87,Shopping,Shopping expense
6/20/2024,3720.52,Shopping,Shopping expense
3/14/2024,1247.15,Shopping,Shopping expense
11/17/2024,3120.9,Shopping,Shopping expense
6/6/2024,374.02,Food,Food expense
3/11/2024,3311.1,Education,Education expense
4/25/2024,2906.57,Utilities,Utilities expense
9/25/2025,4637.62,Shopping,Shopping expense
10/5/2023,90.82,Transport,Transport expense
12/27/2025,1981.45,Health,Health expense
6/24/2024,2024.81,Shopping,Shopping expense
4/27/2024,477.09,Shopping,Shopping expense
5/20/2024,889.2,Education,Education expense
3/7/2025,3304.56,Education,Education expense
7/15/2023,4984.46,Education,Education expense
6/20/2024,255.76,Transport,Transport expense
10/30/2023,3139.23,Transport,Transport expense
8/28/2024,1120.66,Utilities,Utilities expense
2/12/2023,4474.92,Shopping,Shopping expense
12/15/2023,2317.5,Food,Food expense
9/28/2023,3972.6,Utilities,Utilities expense
4/20/2025,2465.4,Entertainment,Entertainment expense
12/5/2025,633.11,Food,Food expense
9/5/2024,4399.62,Education,Education expense
12/26/2025,1189.54,Utilities,Utilities expense
10/1/2025,2903.5,Food,Food expense
5/13/2023,4899.44,Education,Education expense
4/6/2023,578.24,Entertainment,Entertainment expense
1/17/2023,4561.47,Health,Health expense
1/6/2023,177.22,Entertainment,Entertainment expense
2/20/2025,3106.68,Food,Food expense
10/26/2024,1542.73,Education,Education expense
3/24/2023,4027.64,Shopping,Shopping expense
4/2/2024,3306.7,Entertainment,Entertainment expense
2/24/2023,803.96,Shopping,Shopping expense
6/27/2024,743.36,Education,Education expense
9/15/2025,1712.6,Utilities,Utilities expense
4/29/2024,4900.97,Health,Health expense
9/20/2023,2285.43,Transport,Transport expense
9/12/2025,3255.91,Shopping,Shopping expense
9/3/2025,1813.01,Transport,Transport expense
12/18/2024,4552.31,Transport,Transport expense
7/17/2025,797.67,Health,Health expense
6/16/2024,4522.11,Food,Food expense
1/14/2025,2405.43,Education,Education expense
8/10/2025,1519.34,Entertainment,Entertainment expense
11/17/2025,3397.8,Shopping,Shopping expense
10/20/2024,3075.65,Entertainment,Entertainment expense
5/31/2025,1952.71,Shopping,Shopping expense
11/25/2023,2760.8,Transport,Transport expense
12/16/2025,1787.59,Health,Health expense
11/28/2024,4727.92,Utilities,Utilities expense
7/31/2023,1668.84,Utilities,Utilities expense
8/3/2023,1786.8,Shopping,Shopping expense
7/7/2023,4230.78,Education,Education expense
7/15/2025,425.44,Shopping,Shopping expense
3/21/2025,287.41,Food,Food expense
3/3/2025,2667.39,Transport,Transport expense
7/21/2023,3581.05,Food,Food expense
8/10/2025,4547.8,Transport,Transport expense
6/6/2025,3932.65,Health,Health expense
8/2/2023,3869.56,Entertainment,Entertainment expense
8/22/2024,958.82,Utilities,Utilities expense
3/30/2025,1578.8,Food,Food expense
3/22/2023,193.53,Education,Education expense
11/13/2024,4872.77,Entertainment,Entertainment expense
5/3/2024,1457.21,Utilities,Utilities expense
3/26/2025,3686.06,Education,Education expense
5/13/2025,494.32,Education,Education expense
10/7/2025,1160.72,Food,Food expense
12/20/2024,3673.2,Transport,Transport expense
10/28/2024,1190.7,Entertainment,Entertainment expense
8/10/2023,566.39,Entertainment,Entertainment expense
3/5/2025,382.74,Utilities,Utilities expense
2/19/2025,2582.32,Transport,Transport expense
1/10/2024,3809.97,Transport,Transport expense
8/29/2025,4215.79,Health,Health expense
6/13/2025,355.11,Health,Health expense
5/4/2024,4108.42,Food,Food expense
8/24/2025,4995.07,Transport,Transport expense
9/12/2025,1575.41,Food,Food expense
12/24/2024,438.98,Shopping,Shopping expense
10/4/2023,3112.81,Food,Food expense
7/14/2023,4953.96,Food,Food expense
3/2/2023,433.56,Transport,Transport expense
4/27/2024,3503.57,Entertainment,Entertainment expense
7/3/2023,4199.13,Food,Food expense
4/4/2023,133.02,Utilities,Utilities expense
9/3/2025,302.79,Health,Health expense
8/17/2023,1754.02,Transport,Transport expense
6/7/2023,4288.81,Entertainment,Entertainment expense
12/7/2025,2382.92,Transport,Transport expense
4/12/2023,4493.72,Food,Food expense
10/31/2025,1900.26,Education,Education expense
7/13/2024,398.12,Education,Education expense
4/11/2024,86.37,Education,Education expense
1/15/2023,4873.62,Transport,Transport expense
12/9/2025,635.48,Food,Food expense
3/31/2025,1529.38,Education,Education expense
1/23/2025,1625.85,Entertainment,Entertainment expense
7/30/2024,1430.24,Health,Health expense
10/14/2025,4706.87,Food,Food expense
12/27/2024,167.65,Health,Health expense
10/31/2024,334.3,Utilities,Utilities expense
9/12/2024,4273.28,Health,Health expense
11/4/2025,4308.12,Health,Health expense
10/1/2023,4966.55,Entertainment,Entertainment expense
10/2/2023,1127.24,Health,Health expense
9/22/2024,2496.17,Entertainment,Entertainment expense
8/31/2024,1923.59,Entertainment,Entertainment expense
11/30/2023,129.33,Utilities,Utilities expense
6/17/2024,1651.01,Utilities,Utilities expense
3/10/2025,1150.63,Food,Food expense
2/12/2024,328.59,Utilities,Utilities expense
1/11/2025,4906.75,Entertainment,Entertainment expense
5/7/2024,229.5,Health,Health expense
12/27/2024,2211.06,Shopping,Shopping expense
3/28/2025,3563.61,Transport,Transport expense
5/2/2024,1474.1,Transport,Transport expense
4/16/2023,3056.31,Entertainment,Entertainment expense
9/8/2023,3094.42,Transport,Transport expense
11/26/2023,465.7,Education,Education expense
10/8/2024,2251.74,Shopping,Shopping expense
6/10/2025,1915.78,Health,Health expense
12/15/2025,1623.77,Health,Health expense
6/17/2025,360.3,Utilities,Utilities expense
1/30/2024,3321.61,Shopping,Shopping expense
5/15/2024,2427.7,Food,Food expense
12/16/2023,987.53,Food,Food expense
6/4/2023,1523.19,Food,Food expense
4/20/2025,65.46,Shopping,Shopping expense
1/1/2024,482.22,Education,Education expense
8/23/2025,4372.71,Health,Health expense
9/27/2024,4540.6,Health,Health expense
4/29/2025,4277.12,Shopping,Shopping expense
6/13/2023,3013.9,Education,Education expense
9/15/2024,196.64,Transport,Transport expense
11/17/2023,58.78,Shopping,Shopping expense
12/28/2023,1628.48,Utilities,Utilities expense
5/13/2025,4454.17,Shopping,Shopping expense
12/29/2025,2867.06,Food,Food expense
10/15/2025,4890.53,Transport,Transport expense
4/25/2025,652.1,Food,Food expense
4/5/2025,2717.2,Food,Food expense
7/10/2023,4708.36,Food,Food expense
3/11/2025,3051.66,Education,Education expense
11/23/2024,407.41,Shopping,Shopping expense
12/16/2023,1065.47,Food,Food expense
7/16/2023,2509.94,Utilities,Utilities expense
3/27/2023,1407.47,Health,Health expense
5/18/2025,3102.08,Shopping,Shopping expense
1/3/2024,3649.81,Transport,Transport expense
12/10/2023,2366.97,Transport,Transport expense
11/24/2025,4224.21,Shopping,Shopping expense
1/17/2025,4415.02,Health,Health expense
1/19/2023,4422.17,Entertainment,Entertainment expense
9/14/2025,4936.6,Education,Education expense
7/25/2023,3668.36,Health,Health expense
11/27/2024,1851.2,Transport,Transport expense
4/8/2024,4069.54,Food,Food expense
11/28/2025,3154.53,Transport,Transport expense
8/18/2025,1942.58,Transport,Transport expense
10/26/2024,4134.33,Shopping,Shopping expense
5/8/2023,493.09,Health,Health expense
7/29/2023,667.72,Utilities,Utilities expense
5/20/2025,2130.55,Utilities,Utilities expense
12/26/2025,3344.82,Shopping,Shopping expense
12/10/2023,4485.11,Transport,Transport expense
6/29/2025,3251.05,Utilities,Utilities expense
3/15/2023,1442.87,Entertainment,Entertainment expense
5/21/2024,3164.42,Utilities,Utilities expense
12/17/2024,2613.71,Transport,Transport expense
10/19/2024,4120.94,Utilities,Utilities expense
3/3/2023,1806.85,Health,Health expense
4/25/2025,2214.49,Shopping,Shopping expense
2/18/2023,4166.22,Education,Education expense
7/3/2024,3181.11,Food,Food expense
10/31/2025,2465.8,Shopping,Shopping expense
3/23/2024,4843.83,Health,Health expense
4/4/2023,3672.39,Education,Education expense
10/9/2024,3550.44,Shopping,Shopping expense
1/28/2023,4666.95,Utilities,Utilities expense
2/26/2023,3977.8,Food,Food expense
9/10/2025,2593.53,Food,Food expense
4/10/2024,4678.98,Transport,Transport expense
9/13/2025,1459.57,Education,Education expense
11/9/2024,4427.59,Transport,Transport expense
4/9/2024,425.45,Food,Food expense
10/20/2023,2510.12,Education,Education expense
9/28/2024,1558.8,Entertainment,Entertainment expense
3/11/2023,4347.26,Food,Food expense
9/12/2023,4407.73,Entertainment,Entertainment expense
4/11/2025,699.12,Utilities,Utilities expense
12/30/2025,3184.11,Entertainment,Entertainment expense
5/19/2023,1111.24,Utilities,Utilities expense
10/1/2024,3790.51,Shopping,Shopping expense
6/4/2025,1780.39,Food,Food expense
5/27/2023,4529.49,Food,Food expense
5/28/2024,2613.86,Entertainment,Entertainment expense
12/25/2025,3290.49,Utilities,Utilities expense
2/29/2024,2419.79,Education,Education expense
3/19/2025,1110.08,Education,Education expense
2/16/2024,4676.95,Health,Health expense
2/16/2023,3823.2,Health,Health expense
8/29/2023,1704.9,Transport,Transport expense
7/30/2023,3668.22,Transport,Transport expense
6/12/2023,3844.81,Entertainment,Entertainment expense
11/6/2025,3714.41,Education,Education expense
2/22/2023,3089.12,Health,Health expense
6/4/2023,3506.86,Education,Education expense
6/23/2024,819.49,Health,Health expense
6/28/2024,4370.68,Food,Food expense
1/1/2025,3178.31,Health,Health expense
5/1/2024,1884.99,Food,Food expense
12/4/2023,1133.2,Entertainment,Entertainment expense
8/26/2024,3376.02,Education,Education expense
10/20/2023,3557.53,Health,Health expense
12/12/2023,1960.52,Food,Food expense
11/21/2025,81.23,Health,Health expense
4/9/2025,2917.32,Transport,Transport expense
2/9/2025,4473.01,Entertainment,Entertainment expense
2/18/2025,3047.37,Food,Food expense
8/27/2025,3763.12,Food,Food expense
1/29/2023,3295.27,Shopping,Shopping expense
12/31/2024,1922.84,Food,Food expense
7/9/2025,670.65,Utilities,Utilities expense
3/28/2024,2199.88,Education,Education expense
12/4/2023,1016.49,Shopping,Shopping expense
12/9/2025,156.76,Education,Education expense
6/4/2023,940.38,Entertainment,Entertainment expense
8/19/2025,1107.79,Entertainment,Entertainment expense
5/11/2023,2940.09,Education,Education expense
11/19/2025,4713.42,Education,Education expense
1/13/2023,2006.01,Entertainment,Entertainment expense
7/7/2023,618.85,Health,Health expense
12/17/2023,1648.95,Health,Health expense
2/27/2023,4953.12,Transport,Transport expense
12/3/2025,3443.44,Shopping,Shopping expense
9/21/2025,680.94,Utilities,Utilities expense
11/1/2023,3428.94,Utilities,Utilities expense
8/9/2023,4898.63,Education,Education expense
6/9/2024,424.96,Utilities,Utilities expense
7/28/2025,745.31,Food,Food expense
11/17/2023,581.85,Utilities,Utilities expense
3/18/2023,1635.03,Shopping,Shopping expense
2/6/2025,2744.15,Shopping,Shopping expense
10/21/2024,788.95,Health,Health expense
7/9/2025,4835.73,Shopping,Shopping expense
2/14/2023,3805.27,Transport,Transport expense
3/29/2023,2881.52,Transport,Transport expense
9/13/2023,2889.75,Shopping,Shopping expense
7/10/2024,4384.18,Entertainment,Entertainment expense
8/4/2025,3605.86,Health,Health expense
6/23/2025,1291.23,Health,Health expense
8/10/2024,1993.62,Entertainment,Entertainment expense
11/1/2023,1507.1,Transport,Transport expense
8/21/2025,407.23,Education,Education expense
8/16/2023,4518.75,Transport,Transport expense
12/26/2025,2406.15,Transport,Transport expense
2/22/2025,306.65,Utilities,Utilities expense
3/29/2024,1069.53,Utilities,Utilities expense
2/7/2023,406.06,Health,Health expense
8/8/2023,1053.73,Health,Health expense
1/15/2023,132.12,Food,Food expense
5/4/2025,3383.43,Food,Food expense
10/29/2025,830.27,Utilities,Utilities expense
5/6/2024,2111.05,Entertainment,Entertainment expense
8/13/2024,737.36,Food,Food expense
3/24/2023,1996.15,Health,Health expense
3/6/2024,3210.31,Education,Education expense
11/27/2024,3205.49,Shopping,Shopping expense
9/22/2024,3444.05,Transport,Transport expense
